average score,n,alpha
0.9825688073394495,2,1e-13
0.9807339449541285,2,1e-12
0.9798165137614679,2,1e-11
0.9798165137614679,2,1e-10
0.9788990825688074,2,1e-09
0.9788990825688074,2,1e-08
0.9761467889908257,2,1e-07
0.9724770642201834,1,1e-12
0.9724770642201834,1,1e-13
0.9724770642201834,1,1e-10
0.9724770642201834,1,1e-11
0.9715596330275231,3,1e-13
0.9715596330275229,1,1e-09
0.9715596330275229,1,1e-06
0.9715596330275229,2,1e-06
0.9715596330275229,1,1e-08
0.9715596330275229,1,1e-07
0.9706422018348624,3,1e-12
0.9697247706422019,1,1e-05
0.9688073394495413,1,1e-04
0.9678899082568808,2,1e-05
0.9669724770642203,3,1e-11
0.9660550458715598,1,1e-03
0.9642201834862385,1,1e-02
0.9623853211009175,2,1e-04
0.9623853211009175,3,1e-10
0.9605504587155964,1,1e-01
0.9596330275229359,3,1e-09
0.9550458715596332,3,1e-08
0.9522935779816514,3,1e-07
0.9522935779816514,2,1e-03
0.9458715596330274,3,1e-06
0.9376146788990825,3,1e-05
0.9339449541284404,2,1e-02
0.9266055045871558,3,1e-04
0.9128440366972479,3,1e-03
0.9073394495412842,2,1e-01
0.8926605504587156,3,1e-02
0.8495412844036698,3,1e-01
