max_depth,step,accuracy
1,1,0.41594202898550725
1,2,0.4992753623188405
1,3,0.4833333333333333
1,5,0.527536231884058
1,8,0.558695652173913
1,13,0.7123188405797102
1,21,0.7039855072463768
1,34,0.6706521739130434
1,55,0.6789855072463767
2,1,0.5760869565217391
2,2,0.5760869565217391
2,3,0.7043478260869565
2,5,0.7126811594202899
2,8,0.7043478260869565
2,13,0.7463768115942029
2,21,0.8057971014492752
2,34,0.8221014492753623
2,55,0.7884057971014493
3,1,0.677536231884058
3,2,0.5934782608695652
3,3,0.7626811594202899
3,5,0.7615942028985507
3,8,0.7793478260869564
3,13,0.7971014492753623
3,21,0.7797101449275362
3,34,0.780072463768116
3,55,0.788768115942029
