,max_depth,step,accuracy
0,1,1,0.8829292929292929
1,1,2,0.8829292929292929
2,1,3,0.8829292929292929
3,1,5,0.8829292929292929
4,1,8,0.8738383838383837
5,1,13,0.8783838383838385
6,1,21,0.8829292929292929
7,1,34,0.8782828282828282
8,1,55,0.8737373737373737
9,2,1,0.8921212121212122
10,2,2,0.8921212121212122
11,2,3,0.8921212121212122
12,2,5,0.8921212121212122
13,2,8,0.8875757575757575
14,2,13,0.8875757575757575
15,2,21,0.8874747474747474
16,2,34,0.883030303030303
17,2,55,0.874040404040404
18,3,1,0.878989898989899
19,3,2,0.878989898989899
20,3,3,0.8515151515151516
21,3,5,0.8288888888888888
22,3,8,0.8697979797979798
23,3,13,0.8565656565656565
24,3,21,0.8427272727272728
25,3,34,0.8429292929292929
26,3,55,0.8338383838383837
