,accuracy,max_depth,criterion,splitter
14,0.9979879275653923,4,entropy,best
18,0.9963782696177063,5,entropy,best
10,0.9935613682092556,3,entropy,best
12,0.9935613682092556,4,gini,best
16,0.9895372233400402,5,gini,best
22,0.9883299798792756,6,entropy,best
20,0.9875251509054326,6,gini,best
24,0.9826961770623742,7,gini,best
28,0.9778672032193159,8,gini,best
32,0.9682092555331991,9,gini,best
26,0.9682092555331991,7,entropy,best
36,0.9625754527162977,10,gini,best
30,0.9613682092555332,8,entropy,best
40,0.9601609657947686,11,gini,best
34,0.9533199195171026,9,entropy,best
44,0.9464788732394366,12,gini,best
48,0.9460764587525151,13,gini,best
56,0.9460764587525151,15,gini,best
208,0.9436619718309859,53,gini,best
200,0.9424547283702214,51,gini,best
52,0.9420523138832998,14,gini,best
84,0.9396378269617707,22,gini,best
384,0.9388329979879275,97,gini,best
166,0.938430583501006,42,entropy,best
152,0.938430583501006,39,gini,best
72,0.9380281690140845,19,gini,best
106,0.937625754527163,27,entropy,best
60,0.9372233400402414,16,gini,best
212,0.9372233400402414,54,gini,best
336,0.93682092555332,85,gini,best
364,0.93682092555332,92,gini,best
306,0.93682092555332,77,entropy,best
356,0.9364185110663984,90,gini,best
308,0.9364185110663984,78,gini,best
192,0.9364185110663984,49,gini,best
322,0.9364185110663984,81,entropy,best
302,0.9364185110663984,76,entropy,best
260,0.9364185110663984,66,gini,best
68,0.9364185110663984,18,gini,best
64,0.9360160965794768,17,gini,best
300,0.9360160965794768,76,gini,best
352,0.9360160965794768,89,gini,best
98,0.9360160965794768,25,entropy,best
128,0.9360160965794768,33,gini,best
136,0.9360160965794768,35,gini,best
168,0.9360160965794768,43,gini,best
188,0.9360160965794768,48,gini,best
324,0.9356136820925554,82,gini,best
110,0.9352112676056338,28,entropy,best
250,0.9352112676056338,63,entropy,best
96,0.9352112676056338,25,gini,best
158,0.9352112676056338,40,entropy,best
120,0.9352112676056338,31,gini,best
94,0.9352112676056338,24,entropy,best
78,0.9352112676056338,20,entropy,best
148,0.9352112676056338,38,gini,best
360,0.9352112676056338,91,gini,best
236,0.9348088531187123,60,gini,best
292,0.9348088531187123,74,gini,best
230,0.9348088531187123,58,entropy,best
184,0.9348088531187123,47,gini,best
348,0.9348088531187123,88,gini,best
172,0.9348088531187123,44,gini,best
50,0.9348088531187123,13,entropy,best
288,0.9348088531187123,73,gini,best
392,0.9344064386317907,99,gini,best
264,0.9344064386317907,67,gini,best
132,0.9344064386317907,34,gini,best
90,0.9344064386317907,23,entropy,best
196,0.9344064386317907,50,gini,best
156,0.9344064386317907,40,gini,best
138,0.9344064386317907,35,entropy,best
284,0.9344064386317907,72,gini,best
146,0.9344064386317907,37,entropy,best
