,accuracy,max_depth,criteria,splitter
26,0.9683042789223455,7,entropy,best
20,0.9675118858954042,6,gini,best
22,0.9675118858954042,6,entropy,best
24,0.9671156893819335,7,gini,best
30,0.9635499207606973,8,entropy,best
34,0.9583993660855784,9,entropy,best
32,0.9580031695721077,9,gini,best
28,0.9572107765451664,8,gini,best
36,0.9544374009508716,10,gini,best
40,0.9484944532488114,11,gini,best
44,0.9461172741679873,12,gini,best
48,0.945324881141046,13,gini,best
56,0.9429477020602218,15,gini,best
16,0.9429477020602218,5,gini,best
18,0.9421553090332805,5,entropy,best
38,0.9405705229793978,10,entropy,best
52,0.9405705229793978,14,gini,best
64,0.9385895404120443,17,gini,best
60,0.9338351822503962,16,gini,best
68,0.9338351822503962,18,gini,best
192,0.9334389857369255,49,gini,best
212,0.9334389857369255,54,gini,best
42,0.9330427892234548,11,entropy,best
252,0.9326465927099842,64,gini,best
188,0.9322503961965135,48,gini,best
108,0.9322503961965135,28,gini,best
368,0.9318541996830428,93,gini,best
348,0.9318541996830428,88,gini,best
90,0.9318541996830428,23,entropy,best
276,0.9314580031695721,70,gini,best
196,0.9310618066561014,50,gini,best
96,0.9306656101426307,25,gini,best
208,0.93026941362916,53,gini,best
184,0.93026941362916,47,gini,best
300,0.93026941362916,76,gini,best
204,0.93026941362916,52,gini,best
292,0.93026941362916,74,gini,best
238,0.9298732171156894,60,entropy,best
76,0.9298732171156894,20,gini,best
380,0.9298732171156894,96,gini,best
372,0.9298732171156894,94,gini,best
200,0.9294770206022187,51,gini,best
104,0.9294770206022187,27,gini,best
168,0.9294770206022187,43,gini,best
186,0.9294770206022187,47,entropy,best
272,0.9294770206022187,69,gini,best
120,0.929080824088748,31,gini,best
86,0.929080824088748,22,entropy,best
264,0.929080824088748,67,gini,best
392,0.929080824088748,99,gini,best
132,0.9286846275752774,34,gini,best
150,0.9286846275752774,38,entropy,best
164,0.9286846275752774,42,gini,best
220,0.9286846275752774,56,gini,best
240,0.9286846275752774,61,gini,best
296,0.9286846275752774,75,gini,best
54,0.9286846275752774,14,entropy,best
84,0.9286846275752774,22,gini,best
116,0.9282884310618067,30,gini,best
396,0.9282884310618067,100,gini,best
80,0.9282884310618067,21,gini,best
360,0.9282884310618067,91,gini,best
290,0.9282884310618067,73,entropy,best
244,0.927892234548336,62,gini,best
248,0.927892234548336,63,gini,best
260,0.927892234548336,66,gini,best
114,0.9274960380348652,29,entropy,best
278,0.9274960380348652,70,entropy,best
128,0.9274960380348652,33,gini,best
254,0.9274960380348652,64,entropy,best
344,0.9274960380348652,87,gini,best
224,0.9270998415213946,57,gini,best
336,0.9270998415213946,85,gini,best
92,0.9270998415213946,24,gini,best
284,0.9270998415213946,72,gini,best
242,0.9267036450079239,61,entropy,best
174,0.9267036450079239,44,entropy,best
310,0.9267036450079239,78,entropy,best
70,0.9267036450079239,18,entropy,best
148,0.9267036450079239,38,gini,best
332,0.9267036450079239,84,gini,best
232,0.9263074484944532,59,gini,best
180,0.9263074484944532,46,gini,best
202,0.9263074484944532,51,entropy,best
356,0.9263074484944532,90,gini,best
66,0.9263074484944532,17,entropy,best
364,0.9263074484944532,92,gini,best
358,0.9263074484944532,90,entropy,best
112,0.9259112519809826,29,gini,best
352,0.9259112519809826,89,gini,best
354,0.9259112519809826,89,entropy,best
394,0.9259112519809826,99,entropy,best
306,0.9259112519809826,77,entropy,best
280,0.9259112519809826,71,gini,best
256,0.9259112519809826,65,gini,best
62,0.9255150554675119,16,entropy,best
160,0.9255150554675119,41,gini,best
118,0.9255150554675119,30,entropy,best
126,0.9255150554675119,32,entropy,best
138,0.9255150554675119,35,entropy,best
228,0.9255150554675119,58,gini,best
176,0.9255150554675119,45,gini,best
46,0.9255150554675119,12,entropy,best
328,0.9255150554675119,83,gini,best
288,0.9251188589540412,73,gini,best
154,0.9251188589540412,39,entropy,best
298,0.9251188589540412,75,entropy,best
330,0.9251188589540412,83,entropy,best
170,0.9251188589540412,43,entropy,best
74,0.9251188589540412,19,entropy,best
320,0.9251188589540412,81,gini,best
250,0.9251188589540412,63,entropy,best
318,0.9251188589540412,80,entropy,best
88,0.9247226624405706,23,gini,best
304,0.9247226624405706,77,gini,best
342,0.9247226624405706,86,entropy,best
376,0.9247226624405706,95,gini,best
388,0.9243264659270999,98,gini,best
226,0.9243264659270999,57,entropy,best
266,0.9243264659270999,67,entropy,best
294,0.9243264659270999,74,entropy,best
194,0.9243264659270999,49,entropy,best
374,0.9243264659270999,94,entropy,best
326,0.9243264659270999,82,entropy,best
324,0.9243264659270999,82,gini,best
316,0.9243264659270999,80,gini,best
214,0.9243264659270999,54,entropy,best
346,0.9243264659270999,87,entropy,best
234,0.9243264659270999,59,entropy,best
262,0.9243264659270999,66,entropy,best
268,0.9239302694136292,68,gini,best
390,0.9239302694136292,98,entropy,best
156,0.9239302694136292,40,gini,best
178,0.9239302694136292,45,entropy,best
144,0.9239302694136292,37,gini,best
166,0.9239302694136292,42,entropy,best
198,0.9239302694136292,50,entropy,best
100,0.9239302694136292,26,gini,best
124,0.9239302694136292,32,gini,best
366,0.9239302694136292,92,entropy,best
50,0.9239302694136292,13,entropy,best
78,0.9239302694136292,20,entropy,best
130,0.9239302694136292,33,entropy,best
82,0.9239302694136292,21,entropy,best
246,0.9239302694136292,62,entropy,best
308,0.9239302694136292,78,gini,best
334,0.9235340729001584,84,entropy,best
218,0.9235340729001584,55,entropy,best
72,0.9235340729001584,19,gini,best
98,0.9235340729001584,25,entropy,best
322,0.9235340729001584,81,entropy,best
386,0.9235340729001584,97,entropy,best
384,0.9235340729001584,97,gini,best
172,0.9235340729001584,44,gini,best
236,0.9231378763866878,60,gini,best
222,0.9231378763866878,56,entropy,best
136,0.9231378763866878,35,gini,best
140,0.9231378763866878,36,gini,best
378,0.9231378763866878,95,entropy,best
340,0.9227416798732171,86,gini,best
258,0.9227416798732171,65,entropy,best
152,0.9227416798732171,39,gini,best
312,0.9227416798732171,79,gini,best
134,0.9227416798732171,34,entropy,best
190,0.9223454833597464,48,entropy,best
102,0.9223454833597464,26,entropy,best
350,0.9223454833597464,88,entropy,best
230,0.9223454833597464,58,entropy,best
106,0.9219492868462758,27,entropy,best
274,0.9219492868462758,69,entropy,best
210,0.9219492868462758,53,entropy,best
216,0.9219492868462758,55,gini,best
302,0.9219492868462758,76,entropy,best
58,0.9219492868462758,15,entropy,best
122,0.9219492868462758,31,entropy,best
398,0.9215530903328051,100,entropy,best
382,0.9215530903328051,96,entropy,best
370,0.9215530903328051,93,entropy,best
146,0.9211568938193344,37,entropy,best
286,0.9211568938193344,72,entropy,best
94,0.9211568938193344,24,entropy,best
182,0.9207606973058637,46,entropy,best
282,0.9207606973058637,71,entropy,best
158,0.9207606973058637,40,entropy,best
142,0.9199683042789224,36,entropy,best
314,0.9199683042789224,79,entropy,best
362,0.9195721077654516,91,entropy,best
206,0.9187797147385103,52,entropy,best
162,0.9187797147385103,41,entropy,best
338,0.9187797147385103,85,entropy,best
110,0.9175911251980983,28,entropy,best
270,0.9167987321711569,68,entropy,best
12,0.9037242472266244,4,gini,best
14,0.8985736925515055,4,entropy,best
10,0.856973058637084,3,entropy,best
105,0.8514263074484945,27,gini,random
8,0.8490491283676703,3,gini,best
197,0.847068145800317,50,gini,random
55,0.8450871632329635,14,entropy,random
